Site Name	Total Number of Walkers	Walker Rate	Species	Flock Size	SD	AD	Response Distance	Towards/ Away	Seperation Distance	On Shore/In Water	Distance from Edge
DEVILBEND Reservoir (North)	1	0.413793103	Black Swan	1	42	35	28	Away	22	In Water	8
DEVILBEND Reservoir (South)	0	0	Black Swan	2	208	140	106	Away	106	In Water	119
DEVILBEND Reservoir (South)	0	0	Black Swan	3	158	146	144	Away	144	In Water	116
EEL RACE Drain	1	2	Black Swan	6	37	24	19	Away	19	In Water	5
EEL RACE Drain	1	2	Black Swan	2	33	30	26	Away	26	In Water	5
FEDERATION TRAIL Creek	1	3	Black Swan	1	55	55	37	Towards	12	In Water	7
FROG HOLLOW Reserve	44	26.4	Black Swan	1	57	45	40	Towards	3	In Water	0.5
GATEWAY Sanctuary	12	15.65217391	Black Swan	2	45	43	43	Towards	8	In Water	4
GATEWAY Sanctuary	12	15.65217391	Black Swan	3	56	56	56	Towards	3	In Water	12
HAMPTON PARK Wetlands	31	24.8	Black Swan	2	31	25	4	Towards	4	On Shore	0.5
HUNTERS ROAD Wetland	2	4	Black Swan	1	49	49	49	Towards	2	In Water	49
HUNTERS ROAD Wetland	2	4	Black Swan	2	146	146	146	Towards	2	In Water	146
JACK ROPER Reserve	2	4	Black Swan	2	31	27	7	Towards	5	In Water	5
JONES CREEK Wetland	37	44.4	Black Swan	1	22	22	14	Towards	8	In Water	9
KARRAROCK Park	84	28	Black Swan	1	42	3	3	Away	3	In Water	1
KARRAROCK Park	84	28	Black Swan	1	51	37	19	Away	19	On Margin	0.2
KOROROIT Creek FORD	3	6	Black Swan	1	37	19	6	Away	6	In Water	5
KOROROIT Creek FORD	3	6	Black Swan	1	55	35	23	Away	23	In Water	15
KOROROIT Creek FORD	3	6	Black Swan	8	47	35	24	Away	24	On Shore	0.5
Lake VICTORIA	2	2.666666667	Black Swan	4	97	97	94	Away	94	In Water	92
Lake VICTORIA	2	2.666666667	Black Swan	4	116	103	98	Away	98	In Water	100
LAKESIDE Lake	118	83.29411765	Black Swan	1	48	6	3	Towards	3	In Water	4
LAKESIDE Lake	118	83.29411765	Black Swan	3	21	13	10	Towards	1	On Shore	1
LAKESIDE Lake	118	83.29411765	Black Swan	2	88	88	88	Towards	6	In Water	7
LAVERTON Creek (Mouth)	7	12	Black Swan	2	77	68	59	Away	59	In Water	20
LOGAN Lake	58	43.5	Black Swan	2	42	41	41	Towards	2	In Water	40
LOGAN Lake	58	43.5	Black Swan	5	88	86	86	Towards	1	In Water	86
LORNE Lake Reserve	4	3.692307692	Black Swan	1	53	33	25	Away	25	On Shore	2
MANNA GUM Waters	0	0	Black Swan	1	46	46	32	Away	32	In Water	16
McCLOUD'S Waterhole	0	0	Black Swan	1	35	32	32	Away	32	In Water	1
MILLS Park	31	17.71428571	Black Swan	2	106	100	8	Away	8	On Shore	13
MILLS Park	31	17.71428571	Black Swan	5	37	37	37	Towards	0.5	In Water	37
MILLS Park	31	17.71428571	Black Swan	2	47	46	45	Towards	16	In Water	8
MO MORAN Reserve	14	42	Black Swan	2	30	23	14	Towards	2	In Water	5
NEWPORT Lakes	46	18.4	Black Swan	2	17	17	17	Towards	0	In Water	1
ORNAMENTAL Lake	198	148.5	Black Swan	1	28	12	9	Towards	1	In Water	9
ORNAMENTAL Lake	198	148.5	Black Swan	1	19	18	18	Towards	1	In Water	18
QUEENS Park	70	105	Black Swan	1	18	18	18	Towards	0.5	In Water	1
QUEENS Park	70	105	Black Swan	1	32	32	32	Towards	7	In Water	5
REEDY Lake	0	0	Black Swan	3	106	32	32	Away	32	On Shore	35
REEDY Lake	0	0	Black Swan	4	149	75	75	Away	75	In Water	13
RICKETTS POINT	44	37.71428571	Black Swan	7	35	5	2	Away	2	In Water	3
RICKETTS POINT	44	37.71428571	Black Swan	1	105	17	12	Away	12	In Water	7
RICKETTS POINT	44	37.71428571	Black Swan	3	133	93	93	Towards	3	In Water	22
RICKETTS POINT	44	37.71428571	Black Swan	2	143	103	103	Towards	2	In Water	25
SANCTUARY Lakes	41	8.482758621	Black Swan	6	64	25	3	Towards	0.5	On Shore	1
SANCTUARY Lakes	41	8.482758621	Black Swan	2	26	21	16	Towards	7	In Water	0.5
SANCTUARY Lakes	41	8.482758621	Black Swan	2	27	27	27	Towards	0.5	In Water	5
SANCTUARY Lakes	41	8.482758621	Black Swan	6	28	28	28	Towards	0	On Shore	2
SANCTUARY Lakes	41	8.482758621	Black Swan	4	33	33	33	Towards	3	On Margin	0
SANCTUARY Lakes	41	8.482758621	Black Swan	1	40	40	40	Towards	7	In Water	1
SANCTUARY Lakes	41	8.482758621	Black Swan	1	125	60	54	Away	54	In Water	15
SANCTUARY Lakes	41	8.482758621	Black Swan	3	65	65	65	Towards	2	In Water	2
SANDHURST Lakes	1	1.333333333	Black Swan	5	24	10	10	Towards	2	In Water	0.5
SANDHURST Lakes	1	1.333333333	Black Swan	1	23	23	23	Towards	3	In Water	5
SHEARWATER Meadow	11	18.85714286	Black Swan	2	34	34	34	Towards	6	In Water	25
ST LEONARDS Lake	18	18	Black Swan	4	135	78	60	Away	60	In Water	58
STATION Waters	27	40.5	Black Swan	2	52	51	51	Towards	1	On Shore	1
TATTERSON Lake	29	18.31578947	Black Swan	1	61	48	31	Towards	9	In Water	7
TAYLORS Lakes	36	24	Black Swan	2	64	63	63	Towards	1	In Water	62
THE POINT	2	4.615384615	Black Swan	3	75	15	15	Towards	1	In Water	5
THE POINT	2	4.615384615	Black Swan	2	70	25	24	Away	24	In Water	12
THE POINT	2	4.615384615	Black Swan	9	39	30	29	Away	29	In Water	1
TROUPS CREEK Wetlands	5	2.4	Black Swan	1	59	57	57	Away	57	In Water	18
TROUPS CREEK Wetlands	5	2.4	Black Swan	2	83	80	62	Away	62	In Water	32
TROUPS CREEK Wetlands	5	2.4	Black Swan	1	93	93	73	Away	73	In Water	67
TROUPS CREEK Wetlands	5	2.4	Black Swan	2	123	123	107	Away	107	In Water	25
TROUPS CREEK Wetlands (North)	16	16	Black Swan	1	26	25	20	Away	20	In Water	20
TRUGANINA Swamp	0	0	Black Swan	2	106	54	28	Away	28	On Margin	0
WARMIES	10	15	Black Swan	7	28	14	11	Away	11	In Water	2
WARMIES	10	15	Black Swan	13	16	16	16	Towards	0	On Shore	12
WATERDEGE WAY Lake	13	26	Black Swan	2	58	49	47	Towards	5	In Water	8
WATERDEGE WAY Lake	13	26	Black Swan	2	72	70	70	Towards	3	In Water	67
WENDOUREE Lake	131	87.33333333	Black Swan	1	49	6	0.2	Towards	0	On Shore	0.5
WENDOUREE Lake	131	87.33333333	Black Swan	3	36	35	15	Towards	1	In Water	3
WENDOUREE Lake	131	87.33333333	Black Swan	1	28	21	18	Away	18	On Shore	1
WENDOUREE Lake	131	87.33333333	Black Swan	4	36	32	27	Towards	1	In Water	1
WESTERN TREATMENT PLANT (Borrie)	0	0	Black Swan	3	88	66	46	Away	46	On Shore	7
WESTERN TREATMENT PLANT (Borrie)	0	0	Black Swan	5	93	84	73	Away	73	On Shore	3
WESTERN TREATMENT PLANT (Borrie)	0	0	Black Swan	2	135	107	93	Away	93	In Water	25
WESTERN TREATMENT PLANT (Mid)	0	0	Black Swan	1	72	65	43	Away	38	On Shore	1
WESTERN TREATMENT PLANT (Mid)	0	0	Black Swan	1	140	107	52	Away	52	On Shore	2
WESTERN TREATMENT PLANT (Mid)	0	0	Black Swan	2	107	71	67	Away	67	In Water	5
WESTERN TREATMENT PLANT (Mid)	0	0	Black Swan	1	131	80	69	Away	69	In Water	120
WESTERN TREATMENT PLANT (Mid)	0	0	Black Swan	5	200	200	200	Away	200	On Shore	8
WESTERN TREATMENT PLANT (North)	0	0	Black Swan	7	138	90	72	Away	72	On Shore	1
WESTERN TREATMENT PLANT (North)	0	0	Black Swan	2	165	131	117	Away	117	On Shore	1
WESTERN TREATMENT PLANT (South)	0	0	Black Swan	1	24	23.5	23	Away	23	In Water	10
WESTERN TREATMENT PLANT (South)	0	0	Black Swan	4	109	96	84	Away	84	In Water	20
ALBERT Park	79	30.58064516	Domestic Duck	2	38	34	20	Towards	1	On Shore	0.5
BLACKBURN Lake	13	22.28571429	Domestic Duck	1	40	40	40	Towards	7	In Water	10
BLUE WATERS Lake	30	17.14285714	Domestic Duck	1	62	29	19	Towards	18	On Shore	6
BLUE WATERS Lake	30	17.14285714	Domestic Duck	1	31	27	27	Towards	4	In Water	22
BLUE WATERS Lake	30	17.14285714	Domestic Duck	9	52	52	52	Towards	0.5	In Water	20
BUNDRAP Park	34	27.2	Domestic Duck	5	32	32	32	Towards	1	On Shore	0.5
CAIRNLEA Lake	33	36	Domestic Duck	8	18	17	17	Towards	11	In Water	8
CAROLINE Lake	73	58.4	Domestic Duck	2	28	14	5	Away	5	On Shore	2
COLBURG Lake	22	10.56	Domestic Duck	3	34	34	10	Towards	4	On Shore	5
COLBURG Lake	22	10.56	Domestic Duck	2	39	30	30	Towards	2	On Shore	3
DENYER Reserve	24	36	Domestic Duck	1	43	27	24	Towards	4	In Water	12
EDWARDES Lake	57	38	Domestic Duck	2	18	18	18	Towards	3	On Shore	12
EDWARDES Lake	57	38	Domestic Duck	8	36	26	21	Towards	2	In Water	5
EDWARDES Lake	57	38	Domestic Duck	1	33	33	30	Towards	2	In Water	10
EMERALD GOLF CLUB Lake	0	0	Domestic Duck	2	25	25	25	Towards	0.5	In Water	2
FROG HOLLOW Reserve	44	26.4	Domestic Duck	2	43	43	43	Towards	6	In Water	43
FROG HOLLOW Reserve	44	26.4	Domestic Duck	2	45	43	43	Towards	8	In Water	6
HUNTERS ROAD Wetland	2	4	Domestic Duck	1	82	82	82	Towards	6	In Water	82
JACK ROPER Reserve	2	4	Domestic Duck	12	56	56	56	Towards	7	In Water	5
JONES CREEK Wetland	37	44.4	Domestic Duck	1	28	28	15	Away	15	In Water	1
JONES CREEK Wetland	37	44.4	Domestic Duck	1	22	22	22	Towards	6	In Water	2
KARRAROCK Park	84	28	Domestic Duck	1	22	13	5	Away	5	In Water	6
LAKESIDE Lake	118	83.29411765	Domestic Duck	5	23	20	15	Away	15	On Shore	4
LAKESIDE Lake	118	83.29411765	Domestic Duck	4	17	17	17	Towards	2	In Water	15
LAKEWOOD Lakes	4	8	Domestic Duck	2	22	22	18	Away	18	In Water	2
LILYDALE Lake	235	108.4615385	Domestic Duck	1	4	4	4	Towards	2	In Water	3
LOGAN Lake	58	43.5	Domestic Duck	5	23	23	23	Towards	3	In Water	12
MELBOURNE WATER Wetlands	0	0	Domestic Duck	4	37	37	37	Towards	12	In Water	30
MILLS Park	31	17.71428571	Domestic Duck	3	39	39	39	Towards	17	In Water	39
MORNINGTON CIVIC Reserve	22	26.4	Domestic Duck	5	47	22	17	Towards	4	In Water	2
NEWPORT Lakes	46	18.4	Domestic Duck	1	33	33	33	Towards	7	On Margin	0
PABLOO AVENUE Wetland	2	4.8	Domestic Duck	1	36	9	7	Both	6	On Margin	0.2
QUEENS Park	70	105	Domestic Duck	2	29	27	27	Towards	7	In Water	0.2
RINGWOOD Lake	27	32.4	Domestic Duck	2	18	18	14	Towards	9	In Water	2
SANCTUARY Lakes	41	8.482758621	Domestic Duck	7	50	10	3	Towards	5	On Shore	0.5
SHEARWATER Meadow	11	18.85714286	Domestic Duck	1	16	16	16	Towards	6	In Water	1
ST KILDA BOTANICAL Gardens	31	74.4	Domestic Duck	1	54	42	11	Both	10	On Margin	0.2
ST LEONARDS Lake	18	18	Domestic Duck	2	77	77	77	Towards	6	In Water	3
STATION Waters	27	40.5	Domestic Duck	7	49	48	48	Towards	5	On Shore	0.5
SUTTON Lake	47	29.68421053	Domestic Duck	5	14	11	10	Away	10	On Margin	0.3
TATTERSON Lake	29	18.31578947	Domestic Duck	1	60	5	5	Towards	4	In Water	5
TIRHARUAN Lake	26	31.2	Domestic Duck	2	38	38	38	Towards	4	On Shore	0.5
WATERDEGE WAY Lake	13	26	Domestic Duck	2	63	60	60	Towards	24	In Water	54
ALBERT Park	79	30.58064516	Dusky Moorhen	3	19	6	2	Towards	2	On Shore	12
ALBERT Park	79	30.58064516	Dusky Moorhen	1	43	34	26	Towards	6	On Shore	9
BLUE WATERS Lake	30	17.14285714	Dusky Moorhen	1	45	7	7	Away	7	On Shore	8
BLUE WATERS Lake	30	17.14285714	Dusky Moorhen	1	42	18	12	Away	12	On Shore	6
BLUE WATERS Lake	30	17.14285714	Dusky Moorhen	3	57	32	14	Towards	7	On Shore	3
BLUE WATERS Lake	30	17.14285714	Dusky Moorhen	3	32	32	32	Towards	6	On Shore	8
BRODIES Lakes	0	0	Dusky Moorhen	3	32	26	24	Away	24	On Shore	5
BUNDRAP Park	34	27.2	Dusky Moorhen	2	8	8	8	Towards	0.5	In Water	8
BUNDRAP Park	34	27.2	Dusky Moorhen	1	19	10	9	Both	9	On Margin	0.2
BUNDRAP Park	34	27.2	Dusky Moorhen	4	14	14	14	Towards	13	On Shore	0.5
CAIRNLEA Lake	33	36	Dusky Moorhen	2	48	26	8	Away	8	On Shore	2
CAIRNLEA Lake	33	36	Dusky Moorhen	6	32	30	30	Towards	4	In Water	27
CANDLEBARK Walk	18	19.63636364	Dusky Moorhen	4	75	27	26	Both	12	On Shore	3
CANDLEBARK Walk	18	19.63636364	Dusky Moorhen	4	43	34	34	Towards	5	In Water	16
CHERRY Lake	32	27.42857143	Dusky Moorhen	2	44	10	10	Towards	6	On Shore	0.5
CHERRY Lake	32	27.42857143	Dusky Moorhen	2	56	22	12	Towards	3	In Water	2
COLBURG Lake	22	10.56	Dusky Moorhen	5	14	12	10	Both	3	On Shore	7
COLBURG Lake	22	10.56	Dusky Moorhen	7	31	31	31	Towards	2	On Shore	5
DENYER Reserve	24	36	Dusky Moorhen	1	16	15	15	Towards	12	In Water	15
DENYER Reserve	24	36	Dusky Moorhen	1	31	17	17	Away	17	On Shore	4
EDWARDES Lake	57	38	Dusky Moorhen	2	29	14	8	Away	8	On Shore	10
EMERALD Lake	52	41.6	Dusky Moorhen	1	8	8	8	Away	8	On Shore	10
FEDERATION TRAIL Creek	1	3	Dusky Moorhen	2	82	47	42	Away	42	On Margin	0
FROG HOLLOW Reserve	44	26.4	Dusky Moorhen	3	21	19	14	Away	14	On Shore	8
FROG HOLLOW Reserve	44	26.4	Dusky Moorhen	2	54	54	45	Away	45	In Water	44
GATEWAY Sanctuary	12	15.65217391	Dusky Moorhen	1	22	14	14	Away	14	In Water	1
HAMPTON PARK Wetlands	31	24.8	Dusky Moorhen	1	16	16	12	Away	9	On Shore	9
HAMPTON PARK Wetlands	31	24.8	Dusky Moorhen	1	22	22	22	Towards	6	In Water	4
HAMPTON PARK Wetlands	31	24.8	Dusky Moorhen	6	75	56	42	Away	42	On Shore	8
HUNTERS ROAD Wetland	2	4	Dusky Moorhen	2	48	48	48	Towards	9	In Water	48
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Dusky Moorhen	1	35	38	36	Away	36	On Shore	2
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Dusky Moorhen	3	49	39	37	Away	37	On Shore	9
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Dusky Moorhen	2	60	58	50	Away	50	In Water	19
HUNTINGDALE Flood Retarding Basin	20	17.14285714	Dusky Moorhen	2	67	65	65	Away	65	On Shore	3
JACK ROPER Reserve	2	4	Dusky Moorhen	2	35	22	10	Away	10	On Shore	2
JONES CREEK Wetland	37	44.4	Dusky Moorhen	4	20	18	12	Both	6	On Margin	0.2
JONES CREEK Wetland	37	44.4	Dusky Moorhen	2	15	14	14	Both	13	In Water	5
LAKESIDE Lake	118	83.29411765	Dusky Moorhen	2	41	13	10	Both	2	On Shore	10
LAKESIDE Lake	118	83.29411765	Dusky Moorhen	4	21	16	13	Towards	5	On Shore	12
LAKESIDE Lake	118	83.29411765	Dusky Moorhen	1	20	15	14	Towards	2	On Shore	4
LAKEWOOD Lakes	4	8	Dusky Moorhen	2	26	24	24	Towards	23	On Shore	12
LILYDALE Lake	235	108.4615385	Dusky Moorhen	1	20	5	3	Away	3	On Shore	6
LILYDALE Lake	235	108.4615385	Dusky Moorhen	3	25	25	17	Away	17	On Shore	6
LILYDALE Lake	235	108.4615385	Dusky Moorhen	1	25	22	19	Away	19	On Shore	5
LOGAN Lake	58	43.5	Dusky Moorhen	3	16	16	12	Towards	8	In Water	6
LOGAN Lake	58	43.5	Dusky Moorhen	2	25	23	23	Towards	2	On Shore	9
LOGAN Lake	58	43.5	Dusky Moorhen	1	28	26	26	Towards	1	In Water	18
LOGAN Lake	58	43.5	Dusky Moorhen	4	36	31	31	Towards	2	On Shore	2
LOGAN Lake	58	43.5	Dusky Moorhen	3	32	32	32	Towards	2	In Water	32
LORNE Lake Reserve	4	3.692307692	Dusky Moorhen	2	30	28	12	Away	12	In Water	6
LORNE Lake Reserve	4	3.692307692	Dusky Moorhen	1	85	72	65	Away	65	On Shore	6
McCLOUD'S Waterhole	0	0	Dusky Moorhen	4	25	24	18	Away	18	In Water	6
MELBOURNE WATER Wetlands	0	0	Dusky Moorhen	3	38	34	29	Away	29	On Shore	1
MELBOURNE WATER Wetlands	0	0	Dusky Moorhen	3	55	50	39	Away	39	On Shore	0.5
MILLS Park	31	17.71428571	Dusky Moorhen	2	28	26	26	Away	26	In Water	0.5
MILLS Park	31	17.71428571	Dusky Moorhen	6	37	37	37	Towards	1	In Water	37
MILLS Park	31	17.71428571	Dusky Moorhen	2	64	60	53	Towards	30	In Water	26
MORNINGTON CIVIC Reserve	22	26.4	Dusky Moorhen	1	19	10	9	Away	9	On Margin	0.2
MORNINGTON CIVIC Reserve	22	26.4	Dusky Moorhen	1	36	28	26	Away	26	On Shore	4
NARR-MAEN Wetlands	6	7.2	Dusky Moorhen	4	26	24	13	Away	13	On Shore	9
NARR-MAEN Wetlands	6	7.2	Dusky Moorhen	4	48	33	15	Towards	15.5	In Water	6
ORNAMENTAL Lake	198	148.5	Dusky Moorhen	5	23	12	12	Towards	2	On Shore	4
PABLOO AVENUE Wetland	2	4.8	Dusky Moorhen	2	31	27	22	Both	21	In Water	3
PABLOO AVENUE Wetland	2	4.8	Dusky Moorhen	3	37	33	26	Away	26	On Margin	0.2
POINT LONSDALE Reserve	1	2.4	Dusky Moorhen	8	17	14	10	Towards	4	In Water	9
QUEENS Park	70	105	Dusky Moorhen	5	14	14	14	Towards	0.2	On Shore	10
QUEENS Park	70	105	Dusky Moorhen	5	40	40	40	Towards	0	On Shore	2
RIFLE RANGE South	5	2.307692308	Dusky Moorhen	1	17	7	3	Away	3	On Shore	5
RIFLE RANGE South	5	2.307692308	Dusky Moorhen	2	25	14	12	Away	12	In Water	3
RINGWOOD Lake	27	32.4	Dusky Moorhen	2	16	12	4	Away	4	In Water	0.5
SANCTUARY Lakes	41	8.482758621	Dusky Moorhen	7	50	10	3	Towards	5	On Shore	0.5
SANDHURST Lakes	1	1.333333333	Dusky Moorhen	1	17	17	17	Away	17	In Water	2
SANDHURST Lakes	1	1.333333333	Dusky Moorhen	1	32	32	32	Towards	5	On Shore	2
SHANKLAND Reserve	0	0	Dusky Moorhen	2	32	22	21	Away	21	On Shore	11
SHANKLAND Reserve	0	0	Dusky Moorhen	1	53	39	37	Towards	5	In Water	1
SHEARWATER Meadow	11	18.85714286	Dusky Moorhen	1	24	23	23	Towards	9	On Shore	1
SHEARWATER Meadow	11	18.85714286	Dusky Moorhen	2	34	29	29	Towards	4	On Shore	0.5
ST KILDA BOTANICAL Gardens	31	74.4	Dusky Moorhen	1	16	9	7	Away	7	On Shore	1
ST KILDA BOTANICAL Gardens	31	74.4	Dusky Moorhen	1	34	18	8	Away	8	On Margin	0.2
ST LEONARDS Lake	18	18	Dusky Moorhen	3	30	15	12	Away	12	On Shore	6
ST LEONARDS Lake	18	18	Dusky Moorhen	2	39	30	26	Both	13	On Shore	8
ST LEONARDS Lake	18	18	Dusky Moorhen	2	34	30	30	Away	30	On Shore	7
STATION Waters	27	40.5	Dusky Moorhen	2	22	22	22	Towards	6	In Water	1
STATION Waters	27	40.5	Dusky Moorhen	1	48	48	34	Away	34	On Shore	6
STATION Waters	27	40.5	Dusky Moorhen	2	46	46	46	Towards	8	In Water	35
SUTTON Lake	47	29.68421053	Dusky Moorhen	9	31	20	6	Away	6	On Shore	3
SUTTON Lake	47	29.68421053	Dusky Moorhen	1	32	21	19	Away	19	On Shore	2
TATTERSON Lake	29	18.31578947	Dusky Moorhen	1	45	32	27	Away	27	On Shore	9
TAYLORS Lakes	36	24	Dusky Moorhen	2	11	9	9	Towards	6	In Water	5
TAYLORS Lakes	36	24	Dusky Moorhen	1	31	24	21	Away	21	On Shore	1
TAYLORS Lakes	36	24	Dusky Moorhen	1	47	45	45	Towards	11	In Water	9
TIRHARUAN Lake	26	31.2	Dusky Moorhen	1	18	18	18	Towards	3	On Shore	27
WATERDEGE WAY Lake	13	26	Dusky Moorhen	1	20	18	18	Away	18	On Shore	3
WENDOUREE Lake	131	87.33333333	Dusky Moorhen	1	38	9	9	Towards	1	On Shore	5
ALBERT Park	79	30.58064516	Eurasian Coot	2	35	31	6	Both	2	On Shore	7
ALBERT Park	79	30.58064516	Eurasian Coot	2	44	23	23	Towards	2	In Water	30
ALBERT Park	79	30.58064516	Eurasian Coot	2	28	28	28	Towards	4	On Shore	8
ALBERT Park	79	30.58064516	Eurasian Coot	2	31	31	31	Towards	1	In Water	31
ALBERT Park	79	30.58064516	Eurasian Coot	6	38	38	38	Towards	0.5	On Margin	0.2
ALBERT Park	79	30.58064516	Eurasian Coot	1	41	41	41	Towards	4	In Water	32
ALBERT Park	79	30.58064516	Eurasian Coot	6	72	72	72	Towards	1	In Water	6
BERWICK Springs	44	25.14285714	Eurasian Coot	18	47	35	31	Away	31	On Shore	28
BERWICK Springs	44	25.14285714	Eurasian Coot	12	74	67	67	Away	67	On Shore	1.5
BLACKBURN Lake	13	22.28571429	Eurasian Coot	3	27	21	9	Both	9	In Water	1
BLACKBURN Lake	13	22.28571429	Eurasian Coot	3	37	37	32	Both	3	In Water	2
BLUE WATERS Lake	30	17.14285714	Eurasian Coot	14	41	23	19	Away	19	On Shore	8
BLUE WATERS Lake	30	17.14285714	Eurasian Coot	3	49	33	25	Away	25	On Shore	1
BLUE WATERS Lake	30	17.14285714	Eurasian Coot	7	40	29	28	Away	28	On Shore	1
BLUE WATERS Lake	30	17.14285714	Eurasian Coot	12	42	41	41	Towards	17	On Shore	5
BLUE WATERS Lake	30	17.14285714	Eurasian Coot	16	48	48	48	Towards	1	In Water	23
BLUE WATERS Lake	30	17.14285714	Eurasian Coot	2	64	64	64	Towards	15	In Water	58
BRODIES Lakes	0	0	Eurasian Coot	20	40	36	22	Towards	8	On Shore	0.5
BRODIES Lakes	0	0	Eurasian Coot	2	32	26	25	Away	25	In Water	5
BRODIES Lakes	0	0	Eurasian Coot	1	32	32	32	Towards	3	In Water	2
BUNDRAP Park	34	27.2	Eurasian Coot	12	29	22	20	Towards	5	In Water	1
BUNDRAP Park	34	27.2	Eurasian Coot	28	32	32	32	Towards	0.5	In Water	1
CAIRNLEA Lake	33	36	Eurasian Coot	2	35	27	27	Towards	7	In Water	30
CAIRNLEA Lake	33	36	Eurasian Coot	1	43	37	37	Towards	9	In Water	33
CAIRNLEA Lake	33	36	Eurasian Coot	8	44	42	42	Towards	8	In Water	37
CANDLEBARK Walk	18	19.63636364	Eurasian Coot	1	24	23	23	Towards	1	In Water	8
CANDLEBARK Walk	18	19.63636364	Eurasian Coot	1	75	29	26	Both	9	In Water	2
CANDLEBARK Walk	18	19.63636364	Eurasian Coot	2	43	43	43	Towards	1	In Water	27
CARDINA Lake	11	14.66666667	Eurasian Coot	2	37	37	37	Towards	2	In Water	10
CARDINA Lake	11	14.66666667	Eurasian Coot	12	58	58	58	Towards	4	On Shore	0.5
CAROLINE Lake	73	58.4	Eurasian Coot	26	20	12	12	Towards	1	In Water	2
CAROLINE Lake	73	58.4	Eurasian Coot	8	43	42	42	Towards	2	In Water	40
CAROLINE Lake	73	58.4	Eurasian Coot	8	56	56	56	Towards	6	In Water	56
CARRIBBEAN Lake	0	0	Eurasian Coot	1	35	19	12	Away	12	In Water	5
CARRIBBEAN Lake	0	0	Eurasian Coot	2	47	43	14	Away	14	In Water	5
CARRIBBEAN Lake	0	0	Eurasian Coot	5	58	49	44	Away	44	On Shore	7
CHEETHAM Wetlands	0	0	Eurasian Coot	3	31	17	13	Away	13	On Shore	1
CHEETHAM Wetlands	0	0	Eurasian Coot	2	38	34	27	Away	27	On Shore	0.2
CHERRY Lake	32	27.42857143	Eurasian Coot	13	60	18	13	Both	3	On Shore	7
COLBURG Lake	22	10.56	Eurasian Coot	2	42	23	3	Both	2	On Shore	12
COLBURG Lake	22	10.56	Eurasian Coot	17	32	11	10	Away	10	On Shore	6
COLBURG Lake	22	10.56	Eurasian Coot	2	27	22	20	Both	2	On Shore	2
DENYER Reserve	24	36	Eurasian Coot	2	18	17	17	Towards	13	In Water	17
DENYER Reserve	24	36	Eurasian Coot	2	52	36	35	Towards	21	In Water	8
DEVILBEND Reservoir (North)	1	0.413793103	Eurasian Coot	2	131	15	11	Away	11	On Shore	0.5
DEVILBEND Reservoir (North)	1	0.413793103	Eurasian Coot	3	97	25	19	Away	19	In Water	8
